2025-10-21 09:24:05.078068,9,IN
2025-10-21 09:24:05.662749,4,OUT
2025-10-21 09:24:06.006582,9,OUT
2025-10-21 09:24:06.819456,25,OUT
2025-10-21 09:24:07.002254,5,IN
2025-10-21 09:24:07.484449,25,IN
2025-10-21 09:24:07.821156,4,IN
2025-10-21 09:24:07.984756,4,OUT
2025-10-21 09:24:08.322437,5,OUT
2025-10-21 09:24:08.956312,25,OUT
2025-10-21 09:24:10.361177,5,IN
2025-10-21 09:24:11.666258,61,IN
2025-10-21 09:24:11.667110,42,IN
2025-10-21 09:24:11.732841,42,OUT
2025-10-21 09:24:11.801707,55,IN
2025-10-21 09:24:12.538367,61,OUT
2025-10-21 09:24:12.538367,67,IN
2025-10-21 09:24:13.691957,71,OUT
2025-10-21 09:24:13.756933,71,IN
2025-10-21 09:24:14.197170,87,IN
2025-10-21 09:24:14.320123,83,IN
2025-10-21 09:24:14.575991,71,OUT
2025-10-21 09:24:15.721122,71,IN
2025-10-21 09:24:15.924763,97,IN
2025-10-21 09:24:16.078672,97,OUT
2025-10-21 09:24:16.253147,98,IN
2025-10-21 09:24:17.356078,95,OUT
2025-10-21 09:24:17.781411,104,IN
2025-10-21 09:24:18.213527,95,IN
2025-10-21 09:24:18.498087,102,OUT
2025-10-21 09:24:19.170428,71,OUT
2025-10-21 09:24:19.654009,71,IN
2025-10-21 09:24:19.725507,71,OUT
2025-10-21 09:24:19.858965,102,IN
2025-10-21 09:24:20.062731,102,OUT
2025-10-21 09:24:20.475092,71,IN
2025-10-21 09:24:20.548625,71,OUT
2025-10-21 09:24:20.757974,71,IN
2025-10-21 09:24:20.975049,116,IN
2025-10-21 09:24:21.106069,116,OUT
2025-10-21 09:24:21.675892,127,OUT
2025-10-21 09:24:21.982361,123,IN
2025-10-21 09:24:21.982361,119,OUT
2025-10-21 09:24:22.755935,114,OUT
2025-10-21 09:24:23.773917,119,IN
2025-10-21 09:24:26.457126,144,IN
2025-10-21 09:24:26.791179,132,OUT
2025-10-21 09:24:27.261123,132,IN
2025-10-21 09:24:30.384065,147,IN
2025-10-21 09:24:30.438217,114,IN
2025-10-21 09:24:31.302978,162,IN
2025-10-21 09:24:31.864102,114,OUT
2025-10-21 09:24:33.812564,177,IN
